epoch,load,active_users,mem_usage,total_memory,swap_usage,ram_usage,processes,min_ping,average_ping,max_ping
1627199477,0.14,0,14.3,24.06GB,0,80,108,104.22,116.41,137.21
1627199493,0.11,0,14.3,24.06GB,0,80,108,95.49,104.19,112.42
1627199510,0.08,0,14.3,24.06GB,0,80,109,93.08,115.91,147.82
1627199527,0.14,0,14.3,24.06GB,0,80,109,95.54,120.33,140.49
1627199544,0.11,0,14.3,24.06GB,0,80,107,104.47,123.37,154.06
1627199561,0.08,0,14.3,24.06GB,0,80,110,102.78,115.72,134.58
1627199577,0.14,0,14.3,24.06GB,0,80,110,93.42,113.77,134.46
1627199594,0.11,0,14.3,24.06GB,0,80,111,93.55,109.92,130.57
1627199610,0.08,0,14.3,24.06GB,0,80,111,91.2,101.84,106.61
